"","Address","Property Type","District","Asking","Size","Tenancy Status","Date Listed","Facility","Train","Buses","Schools","Shopping.Mall","Markets","PSF","Property Name","Tenure","Model","No. of Units","Tenanted Amount","Built Year","Developer","Floor Level","Condition","Owner Type","Restroom","TOP"
"1","2 gambas Crescent, Singapore 757044","Retail","Sembawang / Yishun","
								$5,680,000 (Negotiable)
								","
							5,329 sqft (Built-up)
								","Tenanted","1631905136","0","3","6","6","3","3","
							$1,066 psf (Built-up)
								","F&B, Canteen, Nordcom II, Sale with Tenancy","LEASEHOLD/30 years","Restaurant",NA,"$15,000",NA,NA,"GROUND",NA,NA,NA,NA
"2","463 macpherson","Office","Macpherson / Potong Pasir","
								$21,000,000 (Guide Price)
								","
							38,287 sqft (Built-up)
								","Not tenanted","1632028865","0","3","9","8","1","3","
							$548 psf (Built-up)
								","463 macpherson",NA,"Office",NA,NA,NA,NA,"GROUND",NA,NA,NA,NA
"3","Alexandra Road","Office","Alexandra / Commonwealth","
								$7,800,000 (Negotiable)
								","
							5,457 sqft (Built-up)
								","Not tenanted","1632013329","0","3","15","6","3","3","
							$1,429 psf (Built-up)
								","Delta House",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Almond Crescent","Land","Dairy Farm / Bukit Panjang / Choa Chu Kang","
								$4,750,000 (Negotiable)
								","
							7,800 sqft (Built-up)
								","Not tenanted","1627436454","4","3","9","6","3","3","
							$609 psf (Built-up)
								",NA,"LEASEHOLD/99 years","Land Only",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Ang Mo Kio Avenue 1","Shop House","Ang Mo Kio / Bishan / Thomson","
								$1,950,000 (Negotiable)
								","
							1,518 sqft (Built-up)
								","Tenanted","1631970413","4","3","6","8","3","3","
							$1,285 psf (Built-up)
								","Ang Mo Kio Avenue 1","LEASEHOLD/99 years",NA,NA,"$4,300",NA,NA,"GROUND","Bare","Private","2",NA
"6","Ang Mo Kio Avenue 10","HDB Shop House","Ang Mo Kio / Bishan / Thomson","
								$6,000,000 (Guide Price)
								","
							1,600 sqft (Built-up)
								","Tenanted","1630501990","0","3","8","6","3","3","
							$3,750 psf (Built-up)
								",NA,"LEASEHOLD/99 years","Hdb Shophouse",NA,"$0",NA,NA,NA,NA,NA,NA,NA
"7","Ang Mo Kio Avenue 3","HDB Shop House","Ang Mo Kio / Bishan / Thomson","
								$2,200,000 (Negotiable)
								","
							1,432 sqft (Built-up)
								","Tenanted","1632038740","2","3","43","8","3","3","
							$1,536 psf (Built-up)
								","Ang Mo Kio Avenue 3","LEASEHOLD/99 years","Hdb Shophouse",NA,"$7,500","1978",NA,"GROUND","Bare","Private",NA,NA
"8","Ang Mo Kio Avenue 5","Shop House","Ang Mo Kio / Bishan / Thomson","
								$2,198,888 (View to Offer)
								","
							1,600 sqft (Built-up)
								","Not tenanted","1631869056","0","3","8","7","3","3","
							$1,374 psf (Built-up)
								","Ang Mo Kio Avenue 5","LEASEHOLD/99 years",NA,NA,NA,NA,"HDB",NA,NA,NA,NA,NA
"9","Ang Mo Kio Street 62","Factory","Ang Mo Kio / Bishan / Thomson","
								$1,550,000 (Starting From)
								","
							2,153 sqft (Built-up)
								","Not tenanted","1632016183","2","3","5","7","3","3","
							$720 psf (Built-up)
								","Link@amk","LEASEHOLD/60 years","Industrial",NA,NA,NA,NA,NA,"Bare",NA,NA,NA
"10","Ang Mo Kio Street 62","Factory","Ang Mo Kio / Bishan / Thomson","
								$949,999 (Negotiable)
								","
							2,152 sqft (Built-up)
								","Not tenanted","1632019064","4","3","5","7","3","3","
							$441 psf (Built-up)
								","Link@amk","LEASEHOLD/60 years","Industrial",NA,NA,NA,NA,NA,"Partially Fitted",NA,NA,NA
"11","Ang Mo Kio Street 62","Warehouse","Ang Mo Kio / Bishan / Thomson","
								$1,700,000","
							2,153 sqft (Built-up)
								","Not tenanted","1631153764","2","3","5","7","3","3","
							$790 psf (Built-up)
								","Link@amk","60 Years from 28/06/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Ang Mo Kio Street 62","Warehouse","Ang Mo Kio / Bishan / Thomson","
								$8,000,000","
							15,824 sqft (Built-up)
								","Not tenanted","1631153700","0","3","5","7","3","3","
							$506 psf (Built-up)
								","Link@amk","60 Years from 28/06/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Armenian Street","Shop House","City Hall / Clarke Quay","
								$4,800,000","
							1,669 sqft (Built-up)
								","Tenanted","1631796257","4","3","20","6","3","3","
							$2,876 psf (Built-up)
								","Armenian Street","LEASEHOLD/99 years",NA,NA,NA,NA,NA,"GROUND","Partially Fitted","Private","2",NA
